Date [UTC], Time [UTC], Illuminance [lux], Temperature [°C], Humidity [%], CO2 [ppm], TVOC [ppb], Latitude [°], Longitude [°], Satellites [-], Speed [m/s], Altitude [m], Roll [°], Pitch [°], Heading [°], Wind speed [m/s], Wind angle [°], Wind temp. [°C]
2023-03-30, 11:31:07.191, 245.02, 15.14, 51.14, 472, 9, 46.52095413, 6.56314182, 10, 0.01, 428.8, 0.1, 1.5, 3.0, 0.6, 44, 17
2023-03-30, 11:31:08.295, 245.02, 15.13, 51.15, 463, 16, 46.52095413, 6.56314278, 10, 0.00, 428.8, 0.2, 1.3, 3.1, 0.3, 68, 17
2023-03-30, 11:31:09.399, 231.85, 15.15, 51.17, 444, 12, 46.52095413, 6.56314278, 10, 0.01, 428.9, 0.3, 1.4, 3.0, 0.4, 63, 17
2023-03-30, 11:31:10.504, 235.82, 15.13, 51.26, 429, 1, 46.52095413, 6.56314468, 10, 0.01, 428.9, 0.2, 1.3, 3.3, 0.4, 24, 17
2023-03-30, 11:31:11.612, 240.67, 15.13, 51.25, 417, 0, 46.52095413, 6.56314468, 10, 0.01, 429.0, 0.3, 1.3, 3.2, 0.6, 17, 17
2023-03-30, 11:31:12.718, 244.75, 15.14, 51.27, 420, 0, 46.52094650, 6.56314468, 10, 0.01, 429.0, 0.2, 1.3, 3.0, 0.7, 20, 17
2023-03-30, 11:31:13.827, 244.75, 15.13, 51.23, 418, 2, 46.52094650, 6.56314707, 10, 0.01, 429.0, 0.3, 1.4, 3.2, 0.7, 0, 17
2023-03-30, 11:31:14.934, 245.24, 15.14, 51.20, 411, 0, 46.52094650, 6.56314468, 10, 0.01, 429.1, 0.2, 1.5, 3.6, 0.6, 321, 17
2023-03-30, 11:31:16.042, 247.96, 15.13, 51.18, 422, 0, 46.52094650, 6.56314707, 10, 0.01, 429.1, 0.2, 1.3, 2.5, 0.7, 281, 17
2023-03-30, 11:31:17.148, 247.08, 15.13, 51.14, 410, 0, 46.52094650, 6.56314468, 10, 0.03, 429.1, 0.2, 1.5, 3.5, 0.7, 269, 17
2023-03-30, 11:31:18.256, 247.08, 15.13, 51.13, 411, 2, 46.52094650, 6.56314468, 10, 0.01, 429.1, 0.2, 1.5, 3.4, 0.9, 269, 17
2023-03-30, 11:31:19.363, 248.44, 15.13, 51.12, 401, 1, 46.52094650, 6.56314278, 10, 0.03, 429.1, 0.2, 1.4, 3.2, 1.2, 285, 17
2023-03-30, 11:31:20.469, 249.80, 15.11, 51.09, 408, 0, 46.52094650, 6.56314278, 10, 0.03, 429.1, 0.2, 1.3, 2.9, 1.1, 293, 17
2023-03-30, 11:31:21.575, 248.93, 15.14, 51.12, 404, 5, 46.52094650, 6.56314278, 10, 0.02, 429.1, 0.2, 1.4, 3.0, 1.3, 281, 17
2023-03-30, 11:31:22.680, 250.29, 15.09, 51.08, 400, 0, 46.52094650, 6.56314278, 10, 0.02, 429.1, 0.0, -3.0, 2.9, 1.7, 281, 17
2023-03-30, 11:31:23.788, 251.65, 15.10, 51.03, 400, 0, 46.52094650, 6.56314468, 10, 0.01, 429.1, 0.2, 1.2, 3.2, 2.1, 275, 17
2023-03-30, 11:31:24.895, 251.65, 15.10, 51.04, 400, 0, 46.52094650, 6.56314468, 10, 0.01, 429.1, 0.2, 1.4, 3.1, 1.8, 288, 17
2023-03-30, 11:31:26.031, 250.78, 15.09, 51.02, 400, 0, 46.52094650, 6.56314707, 10, 0.01, 429.1, 0.2, 1.1, 3.4, 1.3, 269, 17
2023-03-30, 11:31:27.135, 252.14, 15.10, 51.03, 425, 7, 46.52094650, 6.56314278, 10, 0.03, 429.0, 0.3, 1.1, 2.8, 1.4, 294, 17
2023-03-30, 11:31:28.240, 253.50, 15.11, 50.97, 432, 5, 46.52094650, 6.56314278, 10, 0.03, 429.0, 0.2, 1.2, 3.2, 1.4, 291, 17
2023-03-30, 11:31:29.346, 253.50, 15.09, 50.96, 422, 3, 46.52094650, 6.56314182, 10, 0.04, 429.0, 0.2, 1.3, 2.9, 1.2, 272, 17
2023-03-30, 11:31:30.453, 253.50, 15.11, 50.93, 430, 2, 46.52094650, 6.56313801, 10, 0.09, 429.0, 0.1, 1.2, 3.4, 1.1, 269, 17
2023-03-30, 11:31:31.560, 253.50, 15.10, 50.92, 406, 0, 46.52094650, 6.56313801, 10, 0.07, 428.9, 0.1, 1.5, 3.4, 1.6, 282, 17
2023-03-30, 11:31:32.669, 252.63, 15.10, 50.90, 403, 2, 46.52094650, 6.56313801, 10, 0.04, 428.8, 0.2, 1.1, 2.8, 1.9, 287, 17
2023-03-30, 11:31:33.775, 255.35, 15.07, 50.94, 414, 0, 46.52094650, 6.56313801, 10, 0.05, 428.8, 0.2, 1.1, 3.2, 1.7, 279, 17
2023-03-30, 11:31:34.881, 254.48, 15.06, 50.90, 426, 5, 46.52094650, 6.56313801, 10, 0.04, 428.8, 0.2, 1.2, 3.2, 1.3, 269, 17
2023-03-30, 11:31:35.987, 256.71, 15.09, 50.89, 411, 5, 46.52094650, 6.56313801, 10, 0.04, 428.8, 0.2, 1.1, 3.4, 1.1, 269, 17
2023-03-30, 11:31:37.094, 255.84, 15.07, 50.87, 413, 7, 46.52094650, 6.56313705, 10, 0.05, 428.7, 0.1, 1.1, 3.2, 1.3, 269, 17
2023-03-30, 11:31:38.196, 255.84, 15.10, 50.90, 419, 7, 46.52095413, 6.56313181, 10, 0.11, 428.7, 0.2, 1.3, 3.4, 1.4, 278, 17
2023-03-30, 11:31:39.301, 257.20, 15.10, 50.86, 416, 0, 46.52095413, 6.56313705, 10, 0.05, 428.7, 0.2, 1.3, 2.5, 1.3, 284, 17
2023-03-30, 11:31:40.404, 254.97, 15.07, 50.90, 422, 0, 46.52095413, 6.56313801, 10, 0.04, 428.6, 0.2, 1.4, 3.2, 0.6, 289, 17
2023-03-30, 11:31:41.510, 256.33, 15.09, 50.86, 410, 13, 46.52095413, 6.56313801, 10, 0.05, 428.6, 0.2, 1.3, 3.0, 1.1, 263, 17
2023-03-30, 11:31:42.614, 256.33, 15.10, 50.84, 405, 0, 46.52095413, 6.56313705, 10, 0.07, 428.5, 0.2, 1.2, 2.9, 1.1, 269, 17
2023-03-30, 11:31:43.718, 257.69, 15.10, 50.88, 400, 0, 46.52095413, 6.56313467, 10, 0.07, 428.5, 0.1, 1.3, 3.1, 1.1, 276, 17
2023-03-30, 11:31:44.822, 257.69, 15.09, 50.85, 410, 4, 46.52096176, 6.56313372, 10, 0.09, 428.6, 0.2, 1.5, 3.2, 0.8, 274, 17
2023-03-30, 11:31:45.930, 257.69, 15.11, 50.89, 410, 5, 46.52096176, 6.56313372, 10, 0.09, 428.6, 0.2, 1.3, 3.2, 0.8, 265, 17
2023-03-30, 11:31:47.037, 259.05, 15.10, 50.83, 417, 6, 46.52096176, 6.56313181, 10, 0.09, 428.6, 0.3, 1.2, 3.4, 0.7, 274, 17
2023-03-30, 11:31:48.144, 256.82, 15.10, 50.90, 421, 9, 46.52096176, 6.56313467, 10, 0.06, 428.5, 0.2, 1.5, 3.4, 0.6, 295, 17
2023-03-30, 11:31:49.250, 256.82, 15.11, 50.84, 419, 9, 46.52096176, 6.56313372, 10, 0.09, 428.5, 0.3, 1.1, 3.1, 0.6, 289, 17
2023-03-30, 11:31:50.359, 256.82, 15.10, 50.90, 406, 4, 46.52097321, 6.56313467, 10, 0.10, 428.6, 0.3, 1.5, 3.3, 0.5, 291, 17
2023-03-30, 11:31:51.466, 256.82, 15.13, 50.92, 422, 5, 46.52097321, 6.56313372, 10, 0.10, 428.6, 0.2, 1.5, 3.1, 0.7, 291, 17
2023-03-30, 11:31:52.574, 259.05, 15.11, 50.89, 413, 0, 46.52097321, 6.56313705, 10, 0.07, 428.6, 0.0, -3.1, 3.7, 0.6, 308, 17
2023-03-30, 11:31:53.680, 259.05, 15.11, 50.88, 406, 0, 46.52098083, 6.56312847, 10, 0.14, 428.4, 0.3, 1.3, 3.1, 0.6, 300, 17
2023-03-30, 11:31:54.788, 258.18, 15.10, 50.93, 405, 6, 46.52098083, 6.56312466, 10, 0.16, 428.4, 0.2, 1.3, 3.6, 0.4, 305, 17
2023-03-30, 11:31:55.893, 258.18, 15.11, 50.85, 408, 2, 46.52098083, 6.56312466, 10, 0.17, 428.4, 0.3, 1.4, 3.4, 0.7, 331, 17
2023-03-30, 11:31:57.001, 258.18, 15.09, 50.85, 400, 6, 46.52098846, 6.56312370, 10, 0.17, 428.3, 0.1, 1.3, 3.2, 1.2, 319, 17
2023-03-30, 11:31:58.106, 259.54, 15.11, 50.89, 400, 0, 46.52098846, 6.56312466, 10, 0.15, 428.2, 0.1, 1.6, 3.0, 0.8, 326, 17
2023-03-30, 11:31:59.214, 259.54, 15.13, 50.90, 400, 1, 46.52098846, 6.56312656, 10, 0.14, 428.1, 0.2, 1.5, 3.0, 0.7, 341, 17
2023-03-30, 11:32:00.320, 258.18, 15.13, 50.86, 409, 0, 46.52098846, 6.56313181, 10, 0.11, 428.0, 0.3, 1.3, 3.2, 0.6, 354, 17
2023-03-30, 11:32:01.426, 256.82, 15.11, 50.85, 400, 0, 46.52098846, 6.56313705, 9, 0.10, 427.9, 0.2, 1.3, 3.3, 0.5, 39, 17
2023-03-30, 11:32:02.533, 258.67, 15.14, 50.85, 402, 0, 46.52098846, 6.56313801, 10, 0.10, 427.9, 0.2, 1.3, 3.0, 0.8, 38, 17
2023-03-30, 11:32:03.638, 259.16, 15.13, 50.87, 416, 0, 46.52098846, 6.56313801, 10, 0.14, 427.9, 0.2, 1.3, 3.6, 0.6, 65, 17
2023-03-30, 11:32:04.746, 257.31, 15.13, 50.84, 417, 3, 46.52098846, 6.56313992, 9, 0.11, 427.9, 0.3, 1.3, 4.0, 0.3, 89, 17
2023-03-30, 11:32:32.381, 198.56, 15.24, 51.05, 419, 7, 46.52097321, 6.56316137, 10, 0.11, 428.8, 0.3, 0.5, 4.3, 0.1, 305, 17
2023-03-30, 11:32:33.488, 198.56, 15.24, 51.00, 425, 10, 46.52097321, 6.56316137, 10, 0.16, 428.8, 0.6, 0.4, 4.6, 0.7, 269, 17
2023-03-30, 11:32:34.597, 199.05, 15.22, 51.04, 422, 5, 46.52096176, 6.56315804, 10, 0.13, 428.8, 0.6, 0.6, 5.2, 1.5, 260, 17
2023-03-30, 11:32:35.703, 199.54, 15.24, 51.05, 427, 16, 46.52095413, 6.56315613, 10, 0.10, 428.8, 0.4, 0.5, 4.7, 1.8, 262, 17
2023-03-30, 11:32:36.810, 203.13, 15.22, 51.05, 410, 5, 46.52095413, 6.56315613, 10, 0.10, 428.8, 0.2, 0.9, 4.9, 1.0, 280, 17
2023-03-30, 11:32:37.916, 204.49, 15.21, 51.04, 422, 2, 46.52094650, 6.56315517, 10, 0.12, 428.8, 0.0, -3.7, 4.7, 2.0, 276, 17
2023-03-30, 11:32:39.024, 203.13, 15.24, 50.98, 401, 5, 46.52094650, 6.56315613, 10, 0.09, 428.8, 0.3, 0.5, 4.9, 1.6, 267, 17
2023-03-30, 11:32:40.584, 202.26, 15.21, 51.02, 404, 1, 46.52095413, 6.56315231, 10, 0.28, 428.7, 0.4, 0.6, 4.4, 0.9, 278, 17
2023-03-30, 11:32:42.545, 203.13, 15.21, 50.96, 400, 0, 46.52094650, 6.56315517, 10, 0.17, 428.7, 0.3, 0.5, 4.4, 0.7, 265, 17
2023-03-30, 11:32:43.646, 203.13, 15.20, 50.98, 407, 3, 46.52093887, 6.56315517, 10, 0.26, 428.6, 0.3, 0.5, 4.6, 1.0, 263, 17
2023-03-30, 11:32:44.749, 203.13, 15.20, 50.94, 401, 0, 46.52093887, 6.56315231, 10, 0.11, 428.5, 0.3, 0.5, 4.9, 0.9, 269, 17
2023-03-30, 11:32:45.852, 203.13, 15.21, 50.91, 401, 0, 46.52093124, 6.56314802, 10, 0.11, 428.5, 0.3, 0.6, 5.1, 0.7, 264, 17
2023-03-30, 11:32:46.956, 201.77, 15.22, 50.87, 400, 0, 46.52093124, 6.56314707, 10, 0.06, 428.5, 0.0, -3.9, 4.8, 0.3, 281, 17
2023-03-30, 11:32:48.061, 201.77, 15.21, 50.91, 400, 0, 46.52093887, 6.56314707, 10, 0.07, 428.5, 0.4, 0.4, 4.7, 0.2, 269, 17
2023-03-30, 11:32:49.169, 201.77, 15.21, 50.85, 404, 10, 46.52093124, 6.56315231, 10, 0.32, 428.4, 0.2, 0.6, 4.7, 0.3, 281, 17
